,Movie,Year,Lenght,IMdB rating,Metascore,Votes,Gross(US)
0,Soul,2020,100,8.1,83,138206,
1,Druk,2020,117,7.8,81,28725,
2,The Gentlemen,2019,113,7.8,51,232391,
3,Avengers 4: Endgame,2019,181,8.4,78,802902,858.37
4,Parasite,2019,132,8.6,96,544490,53.37
5,Knives Out - Ein Mord zum Dessert,2019,130,7.9,82,447577,165.36
6,The Wolf of Wall Street,2013,180,8.2,75,1181148,116.9
7,Once Upon a Time In Hollywood,2019,161,7.6,83,546248,142.5
8,Der Pate,1972,175,9.2,100,1615289,134.97
9,The Trial Of The Chicago 7,2020,129,7.8,77,84867,
10,1917,2019,119,8.3,78,419970,159.23
11,Harry Potter and the Sorcerer's Stone,2001,152,7.6,64,655708,317.58
12,The Lord of the Rings: The Fellowship of the Ring,2001,178,8.8,92,1657264,315.54
13,Catch Me If You Can,2002,141,8.1,75,828088,164.62
14,Die Verurteilten,1994,142,9.3,80,2336323,28.34
15,The Girl with the Dragon Tattoo,2011,158,7.8,71,421306,102.52
16,Interstellar,2014,169,8.6,74,1506405,188.02
17,The Dark Knight,2008,152,9.0,84,2297084,534.86
18,Joker,2019,122,8.5,59,931821,335.45
19,GoodFellas: Drei Jahrzehnte in der Mafia,1990,146,8.7,90,1017546,46.84
20,Inception,2010,148,8.8,74,2061008,292.58
21,Blade Runner 2049,2017,164,8.0,81,459601,92.05
22,Mad Max: Fury Road,2015,120,8.1,90,879619,154.06
23,Pulp Fiction,1994,154,8.9,94,1821426,107.93
24,The Departed,2006,151,8.5,85,1186351,132.38
25,Jojo Rabbit,2019,108,7.9,58,294268,0.35
26,Matrix,1999,136,8.7,73,1671913,171.48
27,Inglourious Basterds,2009,153,8.3,69,1263706,120.54
28,Forrest Gump,1994,142,8.8,82,1803603,330.25
29,Avengers 3: Infinity War,2018,149,8.4,68,830037,678.82
30,Call Me by Your Name,2017,132,7.9,93,211153,18.1
31,The Intouchables,2011,112,8.5,57,757191,13.18
32,Hamilton,2020,160,8.6,90,53885,
33,Titanic,1997,194,7.8,75,1043471,659.33
34,Little Women,2019,135,7.8,91,141501,108.1
35,Into the Wild,2007,148,8.1,73,571417,18.35
36,Gone Girl,2014,149,8.1,79,856980,167.77
37,Green Book: Eine besondere Freundschaft,2018,130,8.2,69,373920,85.08
38,Gladiator,2000,155,8.5,67,1338113,187.71
39,Star Wars,1977,121,8.6,90,1228720,322.74
40,Sieben,1995,127,8.6,65,1440715,100.13
41,Das Schweigen der LÃ¤mmer,1991,118,8.6,85,1266695,130.74
42,Thor - Tag der Entscheidung,2017,130,7.9,74,585459,315.06
43,The Dark Knight Rises,2012,164,8.4,78,1512878,448.14
44,The Green Mile,1999,189,8.6,61,1144251,136.8
45,Pride & Prejudice,2005,129,7.8,82,257916,38.41
46,Fight Club,1999,139,8.8,66,1849755,37.03
47,The Prestige,2006,130,8.5,66,1186798,53.09
48,The Lord of the Rings: The Return of the King,2003,201,8.9,94,1638853,377.85
49,Guardians of the Galaxy,2014,121,8.0,76,1041377,333.18
